Source,Region,Ratio,Species
AS,utr5,0.0327156184552897,Arabidopsis
AS,utr5_cds,0.0543885257345941,Arabidopsis
AS,utr5_utr3,0.0041568826553277,Arabidopsis
AS,utr5,0.0146269177126917,Rice
AS,utr5_cds,0.0280857740585774,Rice
AS,utr5_utr3,0.0027545327754532,Rice
AS,utr5,0.0141072334147803,Cotton
AS,utr5_cds,0.0195933797427504,Cotton
AS,utr5_utr3,0.0026278179890277,Cotton
AS,utr5,0.0218827810764221,Maize
AS,utr5_cds,0.0580348592223711,Maize
AS,utr5_utr3,0.0047165294004979,Maize
AS,utr5,0.0217484963896117,Soybean
AS,utr5_cds,0.062867285918624,Soybean
AS,utr5_utr3,0.0087717786547641,Soybean
