Type,Count,Source,Species
type1,80754,truncated,arabidopsis
type2,5759,truncated,arabidopsis
type3,328,truncated,arabidopsis
type1,105564,longest,arabidopsis
type2,6787,longest,arabidopsis
type3,463,longest,arabidopsis
type1,81566,truncated,rice
type2,7443,truncated,rice
type3,1335,truncated,rice
type1,105999,longest,rice
type2,8554,longest,rice
type3,1708,longest,rice
type1,63857,truncated,cotton
type2,4778,truncated,cotton
type3,234,truncated,cotton
type1,93811,longest,cotton
type2,5762,longest,cotton
type3,343,longest,cotton
type1,66146,truncated,maize
type2,9424,truncated,maize
type3,1649,truncated,maize
type1,92707,longest,maize
type2,11784,longest,maize
type3,2613,longest,maize
type1,203313,truncated,soybean
type2,11806,truncated,soybean
type3,1262,truncated,soybean
type1,263893,longest,soybean
type2,13476,longest,soybean
type3,1455,longest,soybean
