Ratio,Type,Species
0.78627236831051,Furthest,Arabidopsis
0.1479458959926069,Second,Arabidopsis
0.0436864655969083,Third,Arabidopsis
0.644183089637635,Furthest,Rice
0.1865225683407501,Second,Rice
0.0940877304513668,Third,Rice
0.5633882619575995,Furthest,Cotton
0.2118608055148968,Second,Cotton
0.1100618537230275,Third,Cotton
0.6592651485036061,Furthest,Maize
0.1800783690158441,Second,Maize
0.0846726105968538,Third,Maize
0.8429334548014411,Furthest,Soybean
0.1021160296492608,Second,Soybean
0.0398360180545778,Third,Soybean
