Ratio_cumulative,Robust_ratio
0.0,0.004139834406623735
0.01,0.004139834406623735
0.02,0.004139834406623735
0.03,0.004139834406623735
0.04,0.004139834406623735
0.05,0.007267709291628335
0.06,0.013063477460901564
0.07,0.019779208831646734
0.08,0.025574977000919964
0.09,0.028794848206071758
0.1,0.036522539098436065
0.11,0.03698252069917203
0.12,0.043606255749770007
0.13,0.050045998160073595
0.14,0.052161913523459065
0.15,0.05749770009199632
0.16,0.06062557497700092
0.17,0.06789328426862926
0.18,0.06945722171113156
0.19,0.07433302667893284
0.2,0.08187672493100276
0.21,0.08187672493100276
0.22,0.08500459981600736
0.23,0.08997240110395584
0.24,0.09466421343146274
0.25,0.10542778288868446
0.26,0.10542778288868446
0.27,0.10873965041398344
0.28,0.11315547378104876
0.29,0.11839926402943882
0.3,0.12336706531738731
0.31,0.12520699172033117
0.32,0.12907083716651335
0.33,0.12907083716651335
0.34,0.14360625574977
0.35000000000000003,0.14425022999080037
0.36,0.14875804967801287
0.37,0.15354185832566697
0.38,0.15758969641214352
0.39,0.162557497700092
0.4,0.17148114075436982
0.41000000000000003,0.17249310027598896
0.42,0.17727690892364306
0.43,0.18528058877644893
0.44,0.1874885004599816
0.45,0.19319227230910763
0.46,0.19622815087396503
0.47000000000000003,0.20137994480220792
0.48,0.20450781968721252
0.49,0.20450781968721252
0.5,0.23403863845446182
0.51,0.23403863845446182
0.52,0.23403863845446182
0.53,0.23836246550137993
0.54,0.24397424103035878
0.55,0.24958601655933763
0.56,0.2548298068077277
0.5700000000000001,0.25685372585096594
0.58,0.2643054277828887
0.59,0.26982520699172036
0.6,0.2811407543698252
0.61,0.2811407543698252
0.62,0.29006439742410306
0.63,0.2979760809567617
0.64,0.3048758049678013
0.65,0.3128794848206072
0.66,0.3128794848206072
0.67,0.33707451701931923
0.68,0.33707451701931923
0.6900000000000001,0.3423183072677093
0.7000000000000001,0.35105795768169273
0.71,0.35409383624655016
0.72,0.3631094756209752
0.73,0.37129714811407544
0.74,0.374885004599816
0.75,0.3936522539098436
0.76,0.3936522539098436
0.77,0.4022999080036799
0.78,0.41214351425942963
0.79,0.4181232750689972
0.8,0.43514259429622815
0.81,0.4375344986200552
0.8200000000000001,0.4494020239190432
0.8300000000000001,0.45354185832566696
0.84,0.4707451701931923
0.85,0.4823367065317387
0.86,0.4979760809567617
0.87,0.5055197792088316
0.88,0.5181232750689972
0.89,0.5402023919043238
0.9,0.5537258509659614
0.91,0.5661453541858326
0.92,0.573965041398344
0.93,0.590984360625575
0.9400000000000001,0.6063477460901564
0.9500000000000001,0.6351425942962281
0.96,0.6434222631094756
0.97,0.6434222631094756
0.98,0.6434222631094756
0.99,0.6434222631094756
1.0,1.0
